game,outcome,log
1,W,logs/2025-07-08 12:17:08/GAME-OUeow2E8ihXTi8IUPpe.log
2,W,logs/2025-07-15 11:08:30/GAME-OVDcLeVouzjOeGDvxxf.log
3,W,logs/2025-07-15 14:09:06/GAME-OVEGgB-fPODG6al1Izi.log
4,W,logs/2025-07-15 14:23:39/GAME-OVEK0BfqkegB91lEsoj.log
5,W,logs/2025-07-21 11:17:12/GAME-OVhYsdIrTwZYSq-XRUF.log
6,L,logs/2025-07-21 11:42:05/GAME-OVhd_9KoKRyR-jq479p.log
7,W,logs/2025-07-21 14:33:16/GAME-OViFkhmj1kUSe7g0K5Q.log
8,W,logs/2025-07-22 14:32:53/GAME-OVnPG1oIyW2Qts2dKDr.log
9,W,logs/2025-07-22 14:55:30/GAME-OVnUR0SzLHuc9qyQF1I.log
10,W,logs/2025-07-23 11:06:39/GAME-OVrodXRwEGXliSOY4YM.log
11,D,logs/2025-07-23 15:10:53/GAME-OVsgY1p9dGFSaThua2i.log
12,W,logs/2025-07-23 15:23:26/GAME-OVsjPv4paEU7wnoGncA.log
13,W,logs/2025-07-26 10:19:52/GAME-OW65lPGq-9gr4Zl_Zge.log
14,D,logs/2025-07-26 10:40:06/GAME-OW6AKpeZLGx2bbzXvIn.log
15,W,logs/2025-07-26 12:25:54/GAME-OW6YYYNg9c7vyavldKy.log
16,W,logs/2025-07-26 13:19:54/GAME-OW6jujvJ-IbulbPGDIp.log
17,D,logs/2025-07-27 10:44:37/GAME-OWBKz_sJ3K38zoc94b4.log
18,W,logs/2025-07-27 11:07:52/GAME-OWBQHP00e9RoVAAhVLs.log
19,D,logs/2025-07-27 11:19:08/GAME-OWBSrSKf-FrlpTNZSoN.log
20,W,logs/2025-07-27 15:39:57/GAME-OWCOZ1C4YnGCZ0IobDj.log
